"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R86,R18,R127,R130,R17,R128,R87,R14,R15";"ALPS_POT_VERTICAL_PS";9;"10kB";;;
2;"C66,C70,C92,C68,C7,C95,C27,C42,C85,C69,C16,C8,C39,C80,C15,C94,C14,C93,C58,C79,C47,C34,C40,C36,C31,C46,C29,C84,C17,C96,C30,C97,C98,C2,C38,C41,C43,C37,C3,C59,C67,C99,C71,C4,C1,C35";"C0402";46;"100n";;;
3;"C101,C65,C23,C91,C89,C10,C88,C9,C82,C90,C64,C62,C11,C100,C24,C63,C83";"C0402";17;"220p";;;
4;"D30,D35,D12,D36,D13,D47,D29,D25,D1,D10,D45,D16,D18,D2,D31,D11,D48,D34,D7,D26,D8,D32,D9,D33,D17,D28,D15,D14,D27,D46";"SOD523";30;"1N4148";;;
5;"R16,R43,R175,R151,R143,R186,R144,R42,R12,R53,R159,R176,R152,R23,R160,R162,R161,R189,R183";"R0402";19;"100.0k";;;
6;"R37,R107,R49,R40,R48,R133,R102,R134,R138,R36,R105,R95,R136,R101,R103,R45,R39,R94,R100,R135,R137,R47,R75";"R0402";23;"510";;;
7;"D44,D38,D24,D43,D4,D6,D5,D22,D21,D37,D3,D41,D40,D42,D39,D23";"SOD523";16;"BZT585B5V1T";;;
8;"R63,R32,R65,R55,R61,R185,R22,R50,R60,R67,R59,R64,R187,R51,R19,R66,R157,R155,R35";"R0402";19;"100k";;;
9;"R179,R181,R178,R177,R180";"ALPS_POT_NARROW";5;"10kB";;;
10;"R99,R13,R97,R112,R72,R46,R111,R96,R71,R118,R10,R197,R79,R70,R173,R119,R57,R44,R69,R11,R140,R68,R98,R73,R4,R174";"R0402";26;"62.0k";;;
11;"D51,D57,D52,D53,D61,D54,D56,D49,D58,D50,D55,D60,D59";"0603";13;"TVS";;;
12;"D19,D20";"SOD123";2;"1N5819HW";;;
13;"R121,R126,R89,R33,R34,R56,R24,R117,R110,R113,R58,R114,R8,R129,R132,R131,R115,R7,R91,R25";"R0402";20;"30k";;;
14;"R182,R190,R154,R153";"R0402";4;"120k";;;
15;"C57,C49,C48,C56,C61,C21,C51,C26,C20,C78,C28,C74,C19,C60,C22,C18,C25,C77,C50,C76,C81,C75";"C0402";22;"560p";;;
16;"R116,R78,R76,R165,R120,R172,R106,R77,R62,R166,R149,R74,R147,R163,R104";"R0402";15;"30.0k";;;
17;"J6,J7,J13,J12,J10,J15,J2,J1,J5,J3,J14,J16,J9,J11,J4,J8";"WQP_PJ_301M_TME";16;"PJ301_THONKICONNTME";;;
18;"IC6,IC7,IC9";"VSSOP8";3;"OPA1678DGK";;;
19;"IC19,IC20,IC3";"TSSOP14_065";3;"TL074PW";;;
20;"R2,R31,R1,R30";"R0402";4;"6.2k";;;
21;"IC4,IC13,IC5,IC17,IC16,IC12";"SOIC16N";6;"SSM2164S";;;
22;"R146,R92,R108,R145,R6,R109,R5,R93,R52";"R0402";9;"200.0k";;;
23;"R81,R80";"ALPS_POT_NARROW";2;"10kA";;;
24;"R164,R167,R168,R150,R171,R148";"R0402";6;"20k";;;
25;"C87,C33,C6,C13,C86,C32,C12,C5";"C0402";8;"18p";;;
26;"R41,R27,R9,R3,R90,R38,R26,R88";"R0402";8;"5.1k";;;
27;"R158,R156";"R0402";2;"44.2k";;;
28;"R170,R21,R169,R20";"R0402";4;"10M";;;
29;"R54";"R0402";1;"88.7k";;;
30;"LED2";"LED3MM";1;"OSC54L3131A ";;;
31;"R82,R83";"R0402";2;"1.8k";;;
32;"R122,R199,R123,R200";"R0402";4;"300k";;;
33;"IC8,IC14,IC15,IC2,IC21,IC1,IC18";"TSSOP14_065";7;"OPA1679PW";;;
34;"R124,R85,R84,R125";"R0402";4;"680k";;;
35;"LED1";"LED3MM";1;"OSC84L3131A";;;
36;"P1";"PTC-1206";1;"PTCSMD";;;
37;"L1,L2";"0603";2;"742792664";;;
38;"R194,R193,R191,R192";"R0603";4;"1.0k";;;
39;"C52,C53,C45,C44";"C1206";4;"22u";;;
40;"C72,C73";"C0402";2;"DNP";;;
41;"IC10,IC11";"DBZ_R-PDSO-G3";2;"LM4041DBZ";;;
42;"C54,C55";"PANASONIC_B";2;"22u";;;
43;"R188,R184";"R0603";2;"DNP";;;
44;"R142,R141";"R0402";2;"15k";;;
45;"R29";"R0402";1;"95.3k";;;
46;"R28";"R0402";1;"3.9M";;;
47;"SW1";"LP4OA1PBCT";1;"LP4ee1PBCT";;;
48;"R195,R139,R198,R196";"RTRIM3296W";4;"2k";;;
49;"JP1";"2X5-SHROUDED";1;"M05X2SHD";;;
