"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C4,C5,C7,C11,C18,C20,C23,C26,C27,C28,C31","100n","","braids_v50:C0603","14",""
"C6,C12","1u","","braids_v50:C0603","2",""
"C8","470n","","braids_v50:C0603","1",""
"C9,C10","18p","","braids_v50:C0603","2",""
"C13,C14,C16,C17","1n","","braids_v50:C0603","4",""
"C15,C19","22u","","braids_v50:PANASONIC_C","2",""
"C21,C22","100p","","braids_v50:C0603","2",""
"C24","10u","","braids_v50:PANASONIC_B","1",""
"C25,C30","47u","","braids_v50:PANASONIC_D","2",""
"C29","47p","","braids_v50:C0603","1",""
"D1,D2","1N5819HW","~","Diode_SMD:Nexperia_CFP3_SOD-123W","2",""
"DISP1,DISP2","KINGBRIGHT-PDC54-11","","braids_v50:PDC54","2",""
"FB1","FerriteBead_Small","~","","1",""
"IC1,IC2","74595D","","braids_v50:SO16","2",""
"IC3","LM4040B25","","braids_v50:DBZ_R-PDSO-G3","1",""
"IC4","MCP3204","","braids_v50:SO14","1",""
"IC5","DAC8551","","braids_v50:MSOP-8","1",""
"IC6","LM1117-3.3","","braids_v50:TO252","1",""
"IC7","MCP6004","","braids_v50:SO14","1",""
"IC8","LM4040B10","","braids_v50:DBZ_R-PDSO-G3","1",""
"IC9","TL074D","","braids_v50:SO14","1",""
"IC10","TL072","","braids_v50:SO08","1",""
"J1,J2,J3,J4,J5,J6","PJ301_THONKICONN6","","braids_v50:WQP_PJ_301M6","6",""
"JP1","M05X2PTH","","braids_v50:AVR_ICSP","1",""
"JP2","M05X2MINIJTAG","","braids_v50:2X5-1.27","1",""
"JP3","M06SIP","","braids_v50:1X06","1",""
"Q1,Q2,Q3,Q4,Q6","MMBT3904","","braids_v50:SOT23-BEC","5",""
"Q5","8MHz","","braids_v50:HC49UP","1",""
"R1,R2,R3,R11,R23,R55","1.0k","","braids_v50:R0603","6",""
"R4,R5,R6,R7,R8,R9,R10,R12,R13,R14,R15,R16,R17,R18","100","","braids_v50:R0603","14",""
"R19,R20,R21,R36,R37,R38","10kB","","braids_v50:ALPS_POT_VERTICAL_PS","6",""
"R22,R27,R33","10k","","braids_v50:R0603","3",""
"R24,R29,R47,R48,R54,R56","100k","","braids_v50:R0603","6",""
"R25,R26","49.9k","","braids_v50:R0603","2",""
"R28,R32,R40","200k","","braids_v50:R0603","3",""
"R30,R31,R34,R35,R41,R42,R43,R44,R50,R52,R53","24.9k","","braids_v50:R0603","11",""
"R39","120k","","braids_v50:R0603","1",""
"R45,R46","39k","","braids_v50:R0603","2",""
"R49","4.7","","braids_v50:R1206","1",""
"R51","330","","braids_v50:R0603","1",""
"SW1","EC12E_SW","","braids_v50:ALPS_EC12E_SW","1",""
"SW2,SW3","EVQQ2","","braids_v50:EVQ-Q2","2",""
"U1","TSR_1-2450","http://www.tracopower.com/products/tsr1.pdf","Converter_DCDC:Converter_DCDC_TRACO_TSR-1_THT","1",""
"UC1","STM32F103CBT6","","braids_v50:LQFP48","1",""
